id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,basement,reno,yr_sold,age_at_sale,bb_ratio,yrs_since_reno,zip_avg,mo_sold_1,mo_sold_2,mo_sold_3,mo_sold_4,mo_sold_5,mo_sold_6,mo_sold_7,mo_sold_8,mo_sold_9,mo_sold_10,mo_sold_11,mo_sold_12
7129300520,2014-10-13,221900,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,0,0,2014,59,3.0,0,321857,0,0,0,0,0,0,0,0,0,1,0,0
5631500400,2015-02-25,180000,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.23299999999999,2720,8062,0,0,2015,82,2.0,0,471345,0,1,0,0,0,0,0,0,0,0,0,0
1954400510,2015-02-18,510000,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,0,0,2015,28,1.5,0,709751,0,1,0,0,0,0,0,0,0,0,0,0
1321400060,2014-06-27,257500,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.32700000000001,2238,6819,0,0,2014,19,1.3333333333333333,0,303909,0,0,0,0,0,1,0,0,0,0,0,0
2414600126,2015-04-15,229500,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,1,0,2015,55,3.0,0,380535,0,0,0,1,0,0,0,0,0,0,0,0
3793500160,2015-03-12,323000,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,0,0,2015,12,1.2,0,386242,0,0,1,0,0,0,0,0,0,0,0,0
9212900260,2014-05-27,468000,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,1,0,2014,72,2.0,0,634010,0,0,0,0,1,0,0,0,0,0,0,0
114101516,2014-05-28,310000,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,0,0,2014,87,3.0,0,471345,0,0,0,0,1,0,0,0,0,0,0,0
6054650070,2014-10-07,400000,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,0,0,2014,37,1.7142857142857142,0,709751,0,0,0,0,0,0,0,0,0,1,0,0
1875500060,2014-07-31,395000,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,0,0,2014,20,1.5,0,430827,0,0,0,0,0,0,1,0,0,0,0,0
16000397,2014-12-05,189000,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,0,0,2014,93,2.0,0,233039,0,0,0,0,0,0,0,0,0,0,0,1
7983200060,2015-04-24,230000,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,0,0,2015,46,3.0,0,303909,0,0,0,1,0,0,0,0,0,0,0,0
6300500875,2014-05-14,385000,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.34100000000001,1400,4980,1,0,2014,67,2.2857142857142856,0,395833,0,0,0,0,1,0,0,0,0,0,0,0
7137970340,2014-07-03,285000,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,0,0,2014,19,2.0,0,348042,0,0,0,0,0,0,1,0,0,0,0,0
8091400200,2014-05-16,252700,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,0,0,2014,29,1.3333333333333333,0,304189,0,0,0,0,1,0,0,0,0,0,0,0
3814700200,2014-11-20,329000,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.17200000000001,2200,6865,0,0,2014,29,1.3333333333333333,0,304189,0,0,0,0,0,0,0,0,0,0,1,0
1794500383,2014-06-26,937000,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,1,0,2014,99,1.7142857142857142,0,860011,0,0,0,0,0,1,0,0,0,0,0,0
5101402488,2014-06-24,438000,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,1,0,2014,66,1.7142857142857142,0,634010,0,0,0,0,0,1,0,0,0,0,0,0
1873100390,2015-03-02,719000,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,0,0,2015,10,1.6,0,663466,0,0,1,0,0,0,0,0,0,0,0,0
8562750320,2014-11-10,580500,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,0,0,2014,11,1.2,0,631273,0,0,0,0,0,0,0,0,0,0,1,0
461000390,2014-06-24,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,1,0,2014,85,2.2857142857142856,0,594123,0,0,0,0,0,1,0,0,0,0,0,0
7589200193,2014-11-10,535000,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,0,0,2014,85,3.0,0,594123,0,0,0,0,0,0,0,0,0,0,1,0
